part_name,maruti_model,availability,price_range,notes
Front Bumper,Alto 800,Original,8000-12000,OEM available at authorized service center for Alto 800
Rear Bumper,Alto 800,Alternative,6000-9000,Aftermarket widely available for Alto 800
Bonnet / Hood,Alto 800,Not Available,10000-15000,Usually in stock for Alto 800
Side Door,Alto 800,Original,15000-25000,Must be ordered for Alto 800
Headlight,Alto 800,Alternative,3000-7000,Readily available for Alto 800
Taillight,Alto 800,Not Available,2500-6000,Aftermarket preferred for Alto 800
Side Mirror,Alto 800,Original,1200-2500,Always available for Alto 800
Front Bumper,Alto 800,Alternative,7000-11000,OEM part for Alto 800
Rear Bumper,Alto 800,Not Available,5000-8000,Aftermarket available for Alto 800
Bonnet / Hood,Alto 800,Original,9000-14000,Limited stock for Alto 800
Side Door,Alto 800,Alternative,12000-20000,Order required for Alto 800
Headlight,Alto 800,Not Available,2500-6000,Available for Alto 800
Taillight,Alto 800,Original,2000-5000,Aftermarket for Alto 800
Side Mirror,Alto 800,Alternative,1000-2000,Always available for Alto 800
Front Bumper,Alto 800,Not Available,9000-14000,OEM available for Alto 800
Rear Bumper,Alto 800,Original,7000-11000,Aftermarket available for Alto 800
Bonnet / Hood,Alto 800,Alternative,12000-18000,Stock depends for Alto 800
Side Door,Alto 800,Not Available,18000-30000,Order required for Alto 800
Headlight,Alto 800,Original,4000-9000,Available for Alto 800
Taillight,Alto 800,Alternative,3500-8000,Aftermarket for Alto 800
Side Mirror,Alto 800,Not Available,1500-3000,Always available for Alto 800
Front Bumper,Alto K10,Original,8000-12000,OEM available at authorized service center for Alto K10
Rear Bumper,Alto K10,Alternative,6000-9000,Aftermarket widely available for Alto K10
Bonnet / Hood,Alto K10,Not Available,10000-15000,Usually in stock for Alto K10
Side Door,Alto K10,Original,15000-25000,Must be ordered for Alto K10
Headlight,Alto K10,Alternative,3000-7000,Readily available for Alto K10
Taillight,Alto K10,Not Available,2500-6000,Aftermarket preferred for Alto K10
Side Mirror,Alto K10,Original,1200-2500,Always available for Alto K10
Front Bumper,Alto K10,Alternative,7000-11000,OEM part for Alto K10
Rear Bumper,Alto K10,Not Available,5000-8000,Aftermarket available for Alto K10
Bonnet / Hood,Alto K10,Original,9000-14000,Limited stock for Alto K10
Side Door,Alto K10,Alternative,12000-20000,Order required for Alto K10
Headlight,Alto K10,Not Available,2500-6000,Available for Alto K10
Taillight,Alto K10,Original,2000-5000,Aftermarket for Alto K10
Side Mirror,Alto K10,Alternative,1000-2000,Always available for Alto K10
Front Bumper,Alto K10,Not Available,9000-14000,OEM available for Alto K10
Rear Bumper,Alto K10,Original,7000-11000,Aftermarket available for Alto K10
Bonnet / Hood,Alto K10,Alternative,12000-18000,Stock depends for Alto K10
Side Door,Alto K10,Not Available,18000-30000,Order required for Alto K10
Headlight,Alto K10,Original,4000-9000,Available for Alto K10
Taillight,Alto K10,Alternative,3500-8000,Aftermarket for Alto K10
Side Mirror,Alto K10,Not Available,1500-3000,Always available for Alto K10
Front Bumper,S-Presso,Original,8000-12000,OEM available at authorized service center for S-Presso
Rear Bumper,S-Presso,Alternative,6000-9000,Aftermarket widely available for S-Presso
Bonnet / Hood,S-Presso,Not Available,10000-15000,Usually in stock for S-Presso
Side Door,S-Presso,Original,15000-25000,Must be ordered for S-Presso
Headlight,S-Presso,Alternative,3000-7000,Readily available for S-Presso
Taillight,S-Presso,Not Available,2500-6000,Aftermarket preferred for S-Presso
Side Mirror,S-Presso,Original,1200-2500,Always available for S-Presso
Front Bumper,S-Presso,Alternative,7000-11000,OEM part for S-Presso
Rear Bumper,S-Presso,Not Available,5000-8000,Aftermarket available for S-Presso
Bonnet / Hood,S-Presso,Original,9000-14000,Limited stock for S-Presso
Side Door,S-Presso,Alternative,12000-20000,Order required for S-Presso
Headlight,S-Presso,Not Available,2500-6000,Available for S-Presso
Taillight,S-Presso,Original,2000-5000,Aftermarket for S-Presso
Side Mirror,S-Presso,Alternative,1000-2000,Always available for S-Presso
Front Bumper,S-Presso,Not Available,9000-14000,OEM available for S-Presso
Rear Bumper,S-Presso,Original,7000-11000,Aftermarket available for S-Presso
Bonnet / Hood,S-Presso,Alternative,12000-18000,Stock depends for S-Presso
Side Door,S-Presso,Not Available,18000-30000,Order required for S-Presso
Headlight,S-Presso,Original,4000-9000,Available for S-Presso
Taillight,S-Presso,Alternative,3500-8000,Aftermarket for S-Presso
Side Mirror,S-Presso,Not Available,1500-3000,Always available for S-Presso
Front Bumper,Celerio,Original,8000-12000,OEM available at authorized service center for Celerio
Rear Bumper,Celerio,Alternative,6000-9000,Aftermarket widely available for Celerio
Bonnet / Hood,Celerio,Not Available,10000-15000,Usually in stock for Celerio
Side Door,Celerio,Original,15000-25000,Must be ordered for Celerio
Headlight,Celerio,Alternative,3000-7000,Readily available for Celerio
Taillight,Celerio,Not Available,2500-6000,Aftermarket preferred for Celerio
Side Mirror,Celerio,Original,1200-2500,Always available for Celerio
Front Bumper,Celerio,Alternative,7000-11000,OEM part for Celerio
Rear Bumper,Celerio,Not Available,5000-8000,Aftermarket available for Celerio
Bonnet / Hood,Celerio,Original,9000-14000,Limited stock for Celerio
Side Door,Celerio,Alternative,12000-20000,Order required for Celerio
Headlight,Celerio,Not Available,2500-6000,Available for Celerio
Taillight,Celerio,Original,2000-5000,Aftermarket for Celerio
Side Mirror,Celerio,Alternative,1000-2000,Always available for Celerio
Front Bumper,Celerio,Not Available,9000-14000,OEM available for Celerio
Rear Bumper,Celerio,Original,7000-11000,Aftermarket available for Celerio
Bonnet / Hood,Celerio,Alternative,12000-18000,Stock depends for Celerio
Side Door,Celerio,Not Available,18000-30000,Order required for Celerio
Headlight,Celerio,Original,4000-9000,Available for Celerio
Taillight,Celerio,Alternative,3500-8000,Aftermarket for Celerio
Side Mirror,Celerio,Not Available,1500-3000,Always available for Celerio
Front Bumper,WagonR,Original,8000-12000,OEM available at authorized service center for WagonR
Rear Bumper,WagonR,Alternative,6000-9000,Aftermarket widely available for WagonR
